Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 14:01:50,2018-06-27 14:02:45,54.607s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 14:01:56,2018-06-27 14:02:40,44.094s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:01:56,2018-06-27 14:02:05,8.425s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:02:05,2018-06-27 14:02:38,33.313s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:02:38,2018-06-27 14:02:39,0.145s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:02:39,2018-06-27 14:02:40,1.674s,PASSED
,,,,,,
Test Cases/MyCities/LEEDForCities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 14:02:40,2018-06-27 14:02:45,4.787s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:02:40,2018-06-27 14:02:44,3.489s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:02:44,2018-06-27 14:02:44,0.020s,ERROR
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:02:44,2018-06-27 14:02:44,0.025s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:02:44,2018-06-27 14:02:45,0.657s,PASSED
