Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CitesOther TestSuite,Chrome 67.0.3396.99,,2018-06-27 14:08:46,2018-06-27 14:11:04,2m - 18.337s,FAILED
,,,,,,
Test Cases/MyCities/CitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 14:08:52,2018-06-27 14:10:16,1m - 23.321s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:08:52,2018-06-27 14:09:34,41.989s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:09:35,2018-06-27 14:10:14,39.221s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:10:14,2018-06-27 14:10:16,1.299s,PASSED
,,,,,,
Test Cases/MyCities/CitiesOther/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 14:10:16,2018-06-27 14:11:04,48.673s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:10:16,2018-06-27 14:10:51,35.146s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:10:51,2018-06-27 14:11:03,11.737s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:11:03,2018-06-27 14:11:03,0.038s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:11:03,2018-06-27 14:11:04,1.126s,PASSED
