Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 14:08:44,2018-06-27 14:11:11,2m - 26.966s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 14:08:48,2018-06-27 14:10:14,1m - 25.564s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:08:49,2018-06-27 14:09:34,45.705s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:09:35,2018-06-27 14:10:13,38.197s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:10:13,2018-06-27 14:10:14,0.951s,PASSED
,,,,,,
Test Cases/MyCities/LEEDForCities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 14:10:14,2018-06-27 14:11:11,56.845s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:10:14,2018-06-27 14:10:56,42.192s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:10:57,2018-06-27 14:11:09,12.468s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:11:09,2018-06-27 14:11:09,0.057s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:11:09,2018-06-27 14:11:11,1.468s,PASSED
