Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CitiesNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 12:33:20,2018-06-27 12:35:50,2m - 29.850s,FAILED
,,,,,,
Test Cases/MyCities/CitiesNone/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 12:33:25,2018-06-27 12:34:57,1m - 32.644s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 12:33:25,2018-06-27 12:34:17,52.420s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 12:34:18,2018-06-27 12:34:56,38.321s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 12:34:56,2018-06-27 12:34:57,1.400s,PASSED
,,,,,,
Test Cases/MyCities/CitiesNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 12:34:57,2018-06-27 12:35:50,52.161s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 12:34:57,2018-06-27 12:35:36,38.972s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 12:35:37,2018-06-27 12:35:48,11.622s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 12:35:48,2018-06-27 12:35:48,0.063s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 12:35:48,2018-06-27 12:35:50,1.193s,PASSED
