Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 11:02:24,2018-06-27 11:03:12,48.842s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 11:02:26,2018-06-27 11:03:12,46.457s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 11:02:26,2018-06-27 11:02:59,33.123s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 11:02:59,2018-06-27 11:03:11,11.421s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 11:03:11,2018-06-27 11:03:11,0.089s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 11:03:11,2018-06-27 11:03:12,1.522s,PASSED
