Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuildingNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:54:56,2018-06-27 13:57:17,2m - 20.874s,FAILED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingNone/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 13:54:59,2018-06-27 13:56:20,1m - 20.126s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:55:00,2018-06-27 13:55:39,38.543s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:55:39,2018-06-27 13:56:18,39.416s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:56:18,2018-06-27 13:56:20,1.112s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:56:20,2018-06-27 13:57:17,57.318s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:56:20,2018-06-27 13:57:00,40.817s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:57:01,2018-06-27 13:57:16,15.012s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:57:16,2018-06-27 13:57:16,0.028s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:57:16,2018-06-27 13:57:17,1.066s,PASSED
