Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 09:25:48,2018-06-27 09:28:20,2m - 32.482s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 09:25:50,2018-06-27 09:27:27,1m - 37.008s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 09:25:50,2018-06-27 09:26:26,36.186s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 09:26:27,2018-06-27 09:27:25,58.702s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 09:27:25,2018-06-27 09:27:25,0.095s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 09:27:25,2018-06-27 09:27:27,1.482s,PASSED
,,,,,,
Test Cases/MyCities/CitiesNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 09:27:27,2018-06-27 09:28:20,53.100s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 09:27:27,2018-06-27 09:28:17,50.017s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 09:28:17,2018-06-27 09:28:17,0.093s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 09:28:17,2018-06-27 09:28:17,0.010s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 09:28:17,2018-06-27 09:28:20,2.660s,FAILED
