Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCommunities TestSuite,Chrome 67.0.3396.99,,2018-06-26 16:29:36,2018-06-26 16:32:04,2m - 28.105s,FAILED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 16:29:38,2018-06-26 16:30:57,1m - 19.302s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:29:38,2018-06-26 16:30:08,29.450s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 16:30:08,2018-06-26 16:30:56,48.364s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 16:30:56,2018-06-26 16:30:56,0.040s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 16:30:56,2018-06-26 16:30:57,1.232s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/PaymentByCreditCardTest,Chrome 67.0.3396.99,,2018-06-26 16:30:57,2018-06-26 16:32:04,1m - 6.582s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:30:57,2018-06-26 16:31:26,28.157s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 16:31:26,2018-06-26 16:32:03,37.304s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 16:32:03,2018-06-26 16:32:03,0.008s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 16:32:03,2018-06-26 16:32:04,0.958s,PASSED
