Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CitiesNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 11:42:06,2018-06-27 11:43:11,1m - 4.794s,ERROR
,,,,,,
Test Cases/MyCities/LEEDForCities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 11:42:08,2018-06-27 11:43:11,1m - 2.445s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 11:42:09,2018-06-27 11:42:42,33.667s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 11:42:43,2018-06-27 11:43:10,27.477s,ERROR
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 11:43:10,2018-06-27 11:43:10,0.082s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 11:43:10,2018-06-27 11:43:11,0.851s,PASSED
