Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CommunityIndiaTest Suite,Chrome 67.0.3396.99,,2018-06-26 16:39:58,2018-06-26 16:42:52,2m - 54.028s,FAILED
,,,,,,
Test Cases/MyCommunities/CommunitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 16:40:00,2018-06-26 16:41:29,1m - 28.268s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:40:00,2018-06-26 16:40:32,31.730s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 16:40:32,2018-06-26 16:41:27,54.993s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 16:41:27,2018-06-26 16:41:27,0.039s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 16:41:27,2018-06-26 16:41:29,1.314s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 16:41:29,2018-06-26 16:42:52,1m - 23.670s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:41:29,2018-06-26 16:42:02,33.561s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 16:42:02,2018-06-26 16:42:51,49.037s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 16:42:51,2018-06-26 16:42:51,0.003s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 16:42:51,2018-06-26 16:42:52,0.910s,PASSED
