Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCommunities TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:05:33,2018-06-27 13:08:01,2m - 27.545s,FAILED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-27 13:05:39,2018-06-27 13:07:10,1m - 30.694s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:05:39,2018-06-27 13:06:33,54.525s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:06:34,2018-06-27 13:07:08,34.416s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:07:08,2018-06-27 13:07:10,1.424s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:07:10,2018-06-27 13:08:01,51.449s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:07:10,2018-06-27 13:07:48,38.409s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:07:49,2018-06-27 13:08:00,11.331s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:08:00,2018-06-27 13:08:00,0.030s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:08:00,2018-06-27 13:08:01,1.065s,PASSED
