Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Buildings/MyPortfolios/AnalyticsCarbonTopScoreTest,Chrome 67.0.3396.99,"Verifying the highest, average and lowest  data for carbon project  and filtering the top five projects on the of carbon generated project.",2018-07-09 16:15:13,2018-07-09 16:16:13,1m - 0.592s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:15:13,2018-07-09 16:15:49,36.397s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:15:50,2018-07-09 16:16:12,22.016s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-07-09 16:16:12,2018-07-09 16:16:12,0.016s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:16:12,2018-07-09 16:16:13,1.796s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/AnalyticsTotalScoreTest,Chrome 67.0.3396.99,"Verifying and calculating the highest , average and lowest socre in analytics total section .",2018-07-09 16:16:13,2018-07-09 16:17:12,58.231s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:16:13,2018-07-09 16:16:46,32.883s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:16:47,2018-07-09 16:17:10,22.877s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-07-09 16:17:10,2018-07-09 16:17:10,0.010s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:17:10,2018-07-09 16:17:12,1.980s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/EnergyGoalTest,Chrome 67.0.3396.99,"Verifying energy text area,calculating the energy reduction, base line value and energy goal calculation and we are also asserting the calculated data displaying with the manual calculation of data.",2018-07-09 16:17:12,2018-07-09 16:18:45,1m - 33.104s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:17:12,2018-07-09 16:17:46,34.098s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:17:46,2018-07-09 16:18:43,56.557s,ERROR
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-07-09 16:18:43,2018-07-09 16:18:43,0.014s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:18:43,2018-07-09 16:18:45,1.983s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/GoalCarbonTest,Chrome 67.0.3396.99,"Verifying the carbon text area, calculating the carbon reduction, base line value and carbon goal calculation and we are also asserting the calculated data displaying with the manual calculation of data.",2018-07-09 16:18:45,2018-07-09 16:20:18,1m - 33.664s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:18:45,2018-07-09 16:19:20,34.746s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:19:20,2018-07-09 16:20:17,57.081s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-07-09 16:20:17,2018-07-09 16:20:17,0.009s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:20:17,2018-07-09 16:20:18,1.455s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/GoalWasteDivertionTest,Chrome 67.0.3396.99,"Verifying the text area, and calculating the waste divertion reduction, base line value and waste divertion goal calculation. And we are also asserting the calculated data displaying with the manual calculation of data.",2018-07-09 16:20:18,2018-07-09 16:21:25,1m - 6.893s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:20:18,2018-07-09 16:20:51,32.395s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:20:51,2018-07-09 16:21:24,32.766s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-07-09 16:21:24,2018-07-09 16:21:24,0.003s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:21:24,2018-07-09 16:21:25,1.351s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/GoalWasteGenerationTest,Chrome 67.0.3396.99,"Verifying the  text area, and calculating the waste generation reduction, base line value and waste generation goal calculation and we are also asserting the calculated data displaying with the manual calculation of data.",2018-07-09 16:21:25,2018-07-09 16:23:00,1m - 34.194s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:21:25,2018-07-09 16:22:00,35.100s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:22:01,2018-07-09 16:22:59,57.990s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:22:59,2018-07-09 16:23:00,0.773s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/GoalWaterTest,Chrome 67.0.3396.99,"Verifying the water text area, and calculating the use of water reduction, base line value and water goal  calculation and we are also asserting the calculated data displaying with the manual calculation of data.",2018-07-09 16:23:00,2018-07-09 16:24:34,1m - 34.836s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:23:00,2018-07-09 16:23:32,32.905s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:23:33,2018-07-09 16:24:32,59.178s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-07-09 16:24:32,2018-07-09 16:24:32,0.007s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:24:32,2018-07-09 16:24:34,2.382s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/LogoutToArcTest,Chrome 67.0.3396.99,Verify the logout functionlity of Arc.,2018-07-09 16:24:34,2018-07-09 16:25:22,48.008s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-09 16:24:34,2018-07-09 16:25:08,34.057s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-09 16:25:09,2018-07-09 16:25:21,12.512s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-09 16:25:21,2018-07-09 16:25:22,1.014s,PASSED
