Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCommunities TestSuite,Chrome 67.0.3396.87,,2018-06-19 16:48:20,2018-06-19 16:50:41,2m - 20.493s,FAILED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.87,Verify ablility to register the new communities project.,2018-06-19 16:48:22,2018-06-19 16:49:35,1m - 13.380s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.87,,2018-06-19 16:48:22,2018-06-19 16:49:09,47.439s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-19 16:49:10,2018-06-19 16:49:35,25.592s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.87,,2018-06-19 16:49:35,2018-06-19 16:49:35,0.085s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/PaymentByCreditCardTest,Chrome 67.0.3396.87,,2018-06-19 16:49:35,2018-06-19 16:50:41,1m - 5.195s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.87,,2018-06-19 16:49:35,2018-06-19 16:50:05,29.241s,PASSED
Statement - Try,Chrome 67.0.3396.87,,2018-06-19 16:50:05,2018-06-19 16:50:40,35.359s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-19 16:50:40,2018-06-19 16:50:40,0.017s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.87,,2018-06-19 16:50:40,2018-06-19 16:50:41,0.403s,PASSED
