Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CommunitiesNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:05:33,2018-06-27 13:08:04,2m - 30.284s,FAILED
,,,,,,
Test Cases/MyCommunities/CommunitiesNone/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-27 13:05:40,2018-06-27 13:07:10,1m - 29.961s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:05:40,2018-06-27 13:06:34,53.329s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:06:34,2018-06-27 13:07:09,35.012s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:07:09,2018-06-27 13:07:10,0.944s,PASSED
,,,,,,
Test Cases/MyCommunities/CommunitiesNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:07:10,2018-06-27 13:08:04,53.417s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:07:10,2018-06-27 13:07:45,35.096s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:07:46,2018-06-27 13:08:02,16.536s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:08:02,2018-06-27 13:08:02,0.020s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:08:02,2018-06-27 13:08:04,1.270s,PASSED
