Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuildingOther TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:54:56,2018-06-27 13:57:29,2m - 32.587s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingOther/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 13:55:01,2018-06-27 13:56:19,1m - 17.254s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:55:02,2018-06-27 13:55:41,39.664s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:55:42,2018-06-27 13:56:18,35.856s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:56:18,2018-06-27 13:56:19,0.939s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingOther/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:56:19,2018-06-27 13:57:29,1m - 9.936s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:56:19,2018-06-27 13:56:57,38.585s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:56:58,2018-06-27 13:57:28,30.252s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:57:28,2018-06-27 13:57:29,0.697s,PASSED
