Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 10:12:12,2018-06-27 10:13:36,1m - 23.727s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 10:12:14,2018-06-27 10:13:36,1m - 21.309s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 10:12:14,2018-06-27 10:12:48,33.691s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 10:12:48,2018-06-27 10:13:34,45.785s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 10:13:34,2018-06-27 10:13:34,0.123s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 10:13:34,2018-06-27 10:13:36,1.294s,PASSED
