Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CitesOther TestSuite,Chrome 67.0.3396.99,,2018-06-27 14:04:00,2018-06-27 14:04:54,54.012s,FAILED
,,,,,,
Test Cases/MyCities/CitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 14:04:07,2018-06-27 14:04:49,42.722s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:04:07,2018-06-27 14:04:13,6.810s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:04:14,2018-06-27 14:04:46,32.638s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:04:46,2018-06-27 14:04:47,0.173s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:04:47,2018-06-27 14:04:49,2.655s,PASSED
,,,,,,
Test Cases/MyCities/CitiesOther/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 14:04:49,2018-06-27 14:04:54,4.675s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:04:49,2018-06-27 14:04:53,3.561s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:04:53,2018-06-27 14:04:53,0.025s,ERROR
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:04:53,2018-06-27 14:04:53,0.022s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:04:53,2018-06-27 14:04:54,0.636s,PASSED
