Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Portfolios TestSuite,Chrome 67.0.3396.99,,2018-07-13 12:33:18,2018-07-13 13:08:00,34m - 42.256s,FAILED
,,,,,,
Test Cases/Buildings/MyPortfolios/LoginWithPortfolioTest,Chrome 67.0.3396.99,Verify if ability to login with portfolio & respective text for portfolio section.,2018-07-13 12:33:21,2018-07-13 12:34:01,40.067s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-13 12:33:21,2018-07-13 12:33:57,36.183s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-13 12:33:57,2018-07-13 12:34:00,2.701s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-13 12:34:00,2018-07-13 12:34:01,0.928s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/CreateNewPortfolioTest,Chrome 67.0.3396.99,Verify if ability to create new portfolio & checking the title on the landing page of the portfolio.,2018-07-13 12:34:01,2018-07-13 12:35:00,58.912s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-13 12:34:01,2018-07-13 12:34:33,31.908s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-13 12:34:33,2018-07-13 12:34:59,26.130s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-13 12:34:59,2018-07-13 12:35:00,0.678s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/SearchProgramPortfolioTest,Chrome 67.0.3396.99,"Verifying the search dropdown and verfiy the no of projects, if no project found it throws error.",2018-07-13 12:35:00,2018-07-13 12:35:47,47.284s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-13 12:35:00,2018-07-13 12:35:33,33.023s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-13 12:35:33,2018-07-13 12:35:46,13.300s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-13 12:35:46,2018-07-13 12:35:47,0.690s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/AddProjectInsidePortfolioTest,Chrome 67.0.3396.99,Verify if the portfolio have ability to add projects  & after adding each project we are verifying that add project success text on the model.,2018-07-13 12:35:47,2018-07-13 12:39:14,3m - 27.037s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-13 12:35:47,2018-07-13 12:36:23,35.863s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-13 12:36:23,2018-07-13 12:39:13,2m - 50.308s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-13 12:39:13,2018-07-13 12:39:14,0.666s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/ProjectDetailVerificationTest,Chrome 67.0.3396.99,"Verify if the calculation of total number of added projects displays the correct gross floor area, total occupancy , certification area , total number of project correctly in front end.",2018-07-13 12:39:14,2018-07-13 12:40:01,46.494s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-13 12:39:14,2018-07-13 12:39:48,33.885s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-13 12:39:48,2018-07-13 12:40:00,11.594s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-13 12:40:00,2018-07-13 12:40:01,0.682s,PASSED
,,,,,,
Test Cases/Buildings/MyPortfolios/AnalyticsWaterScoreTest,Chrome 67.0.3396.99,"Verifying the highest, average and lowest Water Score and filtering the top five projects on the basis of energy score.",2018-07-13 12:40:01,2018-07-13 12:40:52,51.639s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-07-13 12:40:01,2018-07-13 12:40:31,30.363s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-13 12:40:31,2018-07-13 12:40:51,19.808s,FAILED
