Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CitiesNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 14:06:42,2018-06-27 14:08:17,1m - 34.570s,FAILED
,,,,,,
Test Cases/MyCities/CitiesNone/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 14:06:46,2018-06-27 14:07:36,50.390s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:06:46,2018-06-27 14:07:34,47.832s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:07:34,2018-06-27 14:07:35,0.483s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:07:35,2018-06-27 14:07:35,0.086s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:07:35,2018-06-27 14:07:36,1.470s,PASSED
,,,,,,
Test Cases/MyCities/CitiesNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 14:07:36,2018-06-27 14:08:17,40.259s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 14:07:36,2018-06-27 14:08:14,38.046s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 14:08:15,2018-06-27 14:08:15,0.676s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 14:08:15,2018-06-27 14:08:15,0.013s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 14:08:15,2018-06-27 14:08:17,1.141s,PASSED
