Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LEEDForCites TestSuite,Chrome 67.0.3396.99,,2018-06-27 09:29:37,2018-06-27 09:32:02,2m - 25.294s,FAILED
,,,,,,
Test Cases/MyCities/LEEDForCities/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 09:29:39,2018-06-27 09:30:48,1m - 8.943s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 09:29:39,2018-06-27 09:30:13,33.575s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 09:30:13,2018-06-27 09:30:47,33.856s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 09:30:47,2018-06-27 09:30:48,0.942s,PASSED
,,,,,,
Test Cases/MyCities/CitiesNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 09:30:48,2018-06-27 09:32:02,1m - 14.030s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 09:30:48,2018-06-27 09:31:21,33.342s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 09:31:22,2018-06-27 09:32:01,39.053s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 09:32:01,2018-06-27 09:32:01,0.076s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 09:32:01,2018-06-27 09:32:02,1.246s,PASSED
