Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuildingNone TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:58:04,2018-06-27 13:58:52,48.029s,FAILED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingNone/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 13:58:07,2018-06-27 13:58:47,40.020s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:58:08,2018-06-27 13:58:13,5.436s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:58:14,2018-06-27 13:58:46,31.962s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:58:46,2018-06-27 13:58:46,0.078s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:58:46,2018-06-27 13:58:47,1.424s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingNone/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:58:47,2018-06-27 13:58:52,4.708s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:58:48,2018-06-27 13:58:51,3.460s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:58:51,2018-06-27 13:58:51,0.022s,ERROR
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:58:51,2018-06-27 13:58:51,0.033s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:58:51,2018-06-27 13:58:52,0.834s,PASSED
