Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BuildingOther TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:29:09,2018-06-27 13:30:55,1m - 46.827s,ERROR
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingOther/AddNewProjectTest,Chrome 67.0.3396.99,US Building None Project Registration,2018-06-27 13:29:12,2018-06-27 13:29:58,46.247s,ERROR
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:29:12,2018-06-27 13:29:53,41.030s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:29:53,2018-06-27 13:29:57,3.734s,ERROR
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:29:57,2018-06-27 13:29:57,0.058s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:29:57,2018-06-27 13:29:58,0.778s,PASSED
,,,,,,
Test Cases/Buildings/MyBuildings/BuildingOther/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:29:58,2018-06-27 13:30:55,57.214s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:29:58,2018-06-27 13:30:51,53.043s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:30:52,2018-06-27 13:30:53,0.912s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:30:53,2018-06-27 13:30:53,0.018s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:30:53,2018-06-27 13:30:55,2.724s,FAILED
