Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CitesOther TestSuite,Chrome 67.0.3396.99,,2018-06-27 12:33:22,2018-06-27 12:35:41,2m - 19.299s,FAILED
,,,,,,
Test Cases/MyCities/CitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ability to add new city porject,2018-06-27 12:33:29,2018-06-27 12:34:50,1m - 20.744s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 12:33:29,2018-06-27 12:34:10,40.835s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 12:34:11,2018-06-27 12:34:48,37.399s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 12:34:48,2018-06-27 12:34:50,1.790s,PASSED
,,,,,,
Test Cases/MyCities/CitiesOther/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 12:34:50,2018-06-27 12:35:41,51.101s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 12:34:50,2018-06-27 12:35:24,33.412s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 12:35:24,2018-06-27 12:35:40,16.078s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 12:35:40,2018-06-27 12:35:40,0.031s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 12:35:40,2018-06-27 12:35:41,1.163s,PASSED
