Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CommunityIndiaTest Suite,Chrome 67.0.3396.99,,2018-06-26 15:50:07,2018-06-26 15:53:40,3m - 33.032s,INCOMPLETE
,,,,,,
Test Cases/MyCommunities/CommunitiesNone/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 15:50:09,2018-06-26 15:50:42,32.558s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 15:50:09,2018-06-26 15:50:40,30.973s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 15:50:40,2018-06-26 15:50:40,0.351s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 15:50:40,2018-06-26 15:50:41,0.037s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 15:50:41,2018-06-26 15:50:42,1.031s,PASSED
,,,,,,
Test Cases/MyCommunities/CommunitiesNone/PaymentByCreditCardTest,Chrome 67.0.3396.99,,2018-06-26 15:50:42,2018-06-26 15:51:48,1m - 6.406s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 15:50:42,2018-06-26 15:51:09,27.695s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 15:51:09,2018-06-26 15:51:47,37.581s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 15:51:47,2018-06-26 15:51:47,0.003s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 15:51:47,2018-06-26 15:51:48,0.953s,PASSED
,,,,,,
Test Cases/MyCommunities/CommunitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 15:51:48,2018-06-26 15:52:40,52.320s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 15:51:48,2018-06-26 15:52:37,49.476s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 15:52:38,2018-06-26 15:52:38,0.009s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 15:52:38,2018-06-26 15:52:38,0.005s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 15:52:38,2018-06-26 15:52:40,2.660s,FAILED
,,,,,,
Test Cases/MyCommunities/CommunitiesOther/PaymentByCreditCardTest,Chrome 67.0.3396.99,,2018-06-26 15:52:40,2018-06-26 15:53:33,52.607s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 15:52:40,2018-06-26 15:53:30,49.784s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 15:53:30,2018-06-26 15:53:30,0.037s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 15:53:30,2018-06-26 15:53:30,0.005s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 15:53:30,2018-06-26 15:53:33,2.590s,FAILED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 15:53:33,2018-06-26 15:53:40,7.048s,INCOMPLETE
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 15:53:33,2018-06-26 15:53:36,2.792s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 15:53:36,2018-06-26 15:53:40,4.014s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 15:53:40,2018-06-26 15:53:40,0.007s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 15:53:40,2018-06-26 15:53:40,0.005s,INCOMPLETE
