Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CommunitiesOther TestSuite,Chrome 67.0.3396.99,,2018-06-27 13:01:40,2018-06-27 13:04:01,2m - 21.056s,FAILED
,,,,,,
Test Cases/MyCommunities/CommunitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-27 13:01:44,2018-06-27 13:03:07,1m - 23.529s,PASSED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:01:44,2018-06-27 13:02:28,44.561s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:02:29,2018-06-27 13:03:05,36.935s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:03:05,2018-06-27 13:03:07,1.626s,PASSED
,,,,,,
Test Cases/MyCommunities/CommunitiesOther/RegPaymentByCheckTest,Chrome 67.0.3396.99,,2018-06-27 13:03:07,2018-06-27 13:04:01,53.951s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-27 13:03:07,2018-06-27 13:03:42,35.162s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-06-27 13:03:43,2018-06-27 13:04:00,17.148s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-27 13:04:00,2018-06-27 13:04:00,0.028s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-27 13:04:00,2018-06-27 13:04:01,1.356s,PASSED
