Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CommunityIndiaTest Suite,Chrome 67.0.3396.99,,2018-06-26 16:47:10,2018-06-26 16:51:00,3m - 50.042s,INCOMPLETE
,,,,,,
Test Cases/MyCommunities/CommunitiesNone/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 16:47:13,2018-06-26 16:49:24,2m - 11.661s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:47:13,2018-06-26 16:48:03,50.159s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 16:48:03,2018-06-26 16:49:23,1m - 20.310s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 16:49:23,2018-06-26 16:49:23,0.028s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 16:49:23,2018-06-26 16:49:24,0.982s,PASSED
,,,,,,
Test Cases/MyCommunities/CommunitiesOther/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 16:49:24,2018-06-26 16:50:45,1m - 20.564s,FAILED
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:49:24,2018-06-26 16:50:12,48.019s,ERROR
Statement - Try,Chrome 67.0.3396.99,,2018-06-26 16:50:12,2018-06-26 16:50:44,31.489s,FAILED
Statement - Catch (Throwable t),Chrome 67.0.3396.99,,2018-06-26 16:50:44,2018-06-26 16:50:44,0.008s,PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-06-26 16:50:44,2018-06-26 16:50:45,0.908s,PASSED
,,,,,,
Test Cases/MyCommunities/LEEDForCommunities/AddNewProjectTest,Chrome 67.0.3396.99,Verify ablility to register the new communities project.,2018-06-26 16:50:45,2018-06-26 16:51:00,15.593s,INCOMPLETE
Start listener action : beforeTestListener,Chrome 67.0.3396.99,,2018-06-26 16:50:45,2018-06-26 16:51:00,15.553s,INCOMPLETE
